Wall time,Step,Value
1666130118.1783903,645120,10.930000305175781
1666130266.770615,647168,4.659999847412109
1666130396.8795774,649216,2.6700000762939453
1666130554.8142152,651264,2.9200000762939453
1666130698.7264972,653312,9.25
1666130842.6492014,655360,13.545000076293945
1666130986.6582067,657408,12.614999771118164
1666131125.5005074,659456,14.024999618530273
1666131281.5108733,661504,11.649999618530273
1666131426.436625,663552,6.630000114440918
1666131573.1078837,665600,6.78000020980835
1666131715.705018,667648,7.275000095367432
1666131861.2332027,669696,11.244999885559082
1666132018.4906194,671744,8.84000015258789
1666132170.5959377,673792,12.140000343322754
1666132304.7329738,675840,8.59000015258789
1666132451.7901413,677888,9.859999656677246
1666132596.9312284,679936,11.010000228881836
1666132762.1231716,681984,14.40999984741211
1666132901.8742914,684032,13.609999656677246
1666133052.9297464,686080,16.43000030517578
1666133193.362634,688128,10.579999923706055
1666133354.3746529,690176,2.6050000190734863
1666133490.8148305,692224,-0.9399999976158142
1666133637.1155026,694272,10.335000038146973
1666133787.4769409,696320,18.875
1666133931.9688232,698368,12.835000038146973
1666134103.3283143,700416,11.34000015258789
1666134244.809307,702464,14.289999961853027
1666134390.633829,704512,11.1850004196167
1666134539.1301413,706560,11.21500015258789
1666134689.4571128,708608,15.664999961853027
1666134858.2106216,710656,14.364999771118164
1666135009.2232637,712704,14.979999542236328
1666135156.1205127,714752,13.545000076293945
1666135300.0020661,716800,12.279999732971191
1666135442.080207,718848,7.900000095367432
1666135594.6885724,720896,7.175000190734863
1666135740.1561582,722944,12.220000267028809
1666135882.0919313,724992,13.395000457763672
1666136024.4654708,727040,12.130000114440918
1666136169.1891415,729088,9.645000457763672
1666136330.344295,731136,6.809999942779541
1666136474.9021373,733184,8.050000190734863
1666136621.9281375,735232,14.4350004196167
1666136761.5027947,737280,9.819999694824219
1666136904.0090075,739328,6.599999904632568
1666137066.4232247,741376,1.0700000524520874
1666137210.4303992,743424,7.085000038146973
1666137353.8898754,745472,7.329999923706055
1666137498.8015409,747520,12.164999961853027
1666137638.4078548,749568,14.944999694824219
1666137797.3835797,751616,9.114999771118164
1666137944.867236,753664,4.800000190734863
1666138087.8570642,755712,10.425000190734863
1666138236.917854,757760,12.364999771118164
1666138379.348394,759808,12.979999542236328
1666138545.4734766,761856,15.755000114440918
1666138687.795491,763904,5.105000019073486
1666138835.2301352,765952,6.0
1666138981.8537724,768000,8.895000457763672
1666139137.2619746,770048,8.46500015258789
1666139285.516323,772096,2.5799999237060547
1666139430.182546,774144,-3.2799999713897705
1666139575.444234,776192,4.46999979019165
1666139723.068812,778240,10.210000038146973
1666139882.1678386,780288,15.609999656677246
1666140028.736728,782336,15.170000076293945
1666140180.5332289,784384,14.585000038146973
1666140324.0889103,786432,10.680000305175781
1666140474.290623,788480,11.770000457763672
1666140636.6478152,790528,8.6899995803833
1666140776.8911545,792576,9.829999923706055
1666140921.3440568,794624,15.114999771118164
1666141066.3584123,796672,18.280000686645508
1666141212.6718392,798720,19.53499984741211
1666141374.7629638,800768,17.3799991607666
1666141519.441499,802816,12.725000381469727
1666141664.035095,804864,15.34000015258789
1666141826.4481103,806912,14.204999923706055
1666141972.0430667,808960,14.3100004196167
1666142125.9684699,811008,6.409999847412109
1666142276.200897,813056,4.769999980926514
1666142427.8031974,815104,7.309999942779541
1666142578.2492943,817152,13.930000305175781
1666142727.5275304,819200,19.625
1666142890.24822,821248,16.2450008392334
1666143036.1183777,823296,8.78499984741211
1666143174.5742188,825344,5.309999942779541
1666143311.4221601,827392,-0.9200000166893005
1666143446.6429763,829440,-3.5
1666143606.3084207,831488,2.1649999618530273
1666143750.815516,833536,4.454999923706055
1666143896.539973,835584,9.930000305175781
1666144044.351587,837632,16.399999618530273
1666144193.8045535,839680,17.0
1666144355.8080947,841728,16.2549991607666
1666144496.3489933,843776,11.875
1666144652.97744,845824,12.920000076293945
1666144800.3587074,847872,15.194999694824219
1666144951.6921258,849920,10.9350004196167
1666145112.1665223,851968,11.095000267028809
1666145254.6977308,854016,5.534999847412109
1666145396.2129343,856064,2.369999885559082
1666145542.3493648,858112,11.5649995803833
1666145700.1323195,860160,4.445000171661377
1666145841.2097983,862208,-2.680000066757202
1666145980.0556762,864256,-4.320000171661377
1666146129.7266567,866304,5.019999980926514
1666146266.642662,868352,10.079999923706055
1666146424.606238,870400,-0.06499999761581421
1666146570.4870744,872448,4.465000152587891
1666146714.7181306,874496,4.364999771118164
1666146857.011949,876544,6.394999980926514
1666147000.484527,878592,8.109999656677246
1666147161.2652123,880640,9.925000190734863
1666147301.9564254,882688,13.329999923706055
1666147442.4656932,884736,10.585000038146973
1666147583.4986115,886784,12.4399995803833
1666147724.6597385,888832,13.3100004196167
1666147872.5733054,890880,11.46500015258789
1666148014.9536395,892928,13.734999656677246
1666148161.8004658,894976,23.71500015258789
1666148299.5601547,897024,20.5
1666148439.8999872,899072,12.109999656677246
1666148596.7733018,901120,8.045000076293945
1666148738.9792202,903168,11.970000267028809
1666148885.628131,905216,15.555000305175781
1666149037.841551,907264,17.854999542236328
1666149184.091782,909312,19.635000228881836
1666149342.6355531,911360,17.0
1666149492.5849068,913408,21.110000610351562
1666149639.5835183,915456,20.834999084472656
1666149781.610805,917504,16.850000381469727
1666149925.6134024,919552,13.199999809265137
1666150082.8975713,921600,10.029999732971191
1666150229.09557,923648,17.450000762939453
1666150373.3958,925696,15.520000457763672
1666150515.4573922,927744,20.649999618530273
1666150657.5563822,929792,20.135000228881836
1666150811.6213777,931840,20.979999542236328
1666150946.423557,933888,14.539999961853027
1666151081.0402925,935936,14.0600004196167
1666151221.7644784,937984,17.135000228881836
1666151384.6523442,940032,22.270000457763672
1666151528.255049,942080,18.899999618530273
1666151669.9759197,944128,19.774999618530273
1666151817.3103352,946176,20.454999923706055
1666151957.8527093,948224,19.6299991607666
1666152116.9726532,950272,14.90999984741211
1666152256.3452606,952320,14.529999732971191
1666152398.0384605,954368,15.345000267028809
1666152537.1775165,956416,15.885000228881836
1666152676.7110493,958464,14.140000343322754
1666152833.4837275,960512,17.290000915527344
1666152971.7668974,962560,16.170000076293945
1666153108.9026966,964608,13.600000381469727
1666153251.3107147,966656,14.085000038146973
1666153390.1427703,968704,19.68000030517578
1666153555.1883612,970752,23.225000381469727
1666153697.141894,972800,19.104999542236328
1666153841.3783407,974848,14.359999656677246
1666153982.7228336,976896,10.925000190734863
1666154125.7454512,978944,10.869999885559082
1666154288.2070584,980992,16.719999313354492
1666154437.8257043,983040,17.690000534057617
1666154583.010786,985088,19.19499969482422
1666154725.4609737,987136,20.219999313354492
1666154872.0069218,989184,19.1299991607666
1666155038.2556489,991232,20.5
1666155181.7976553,993280,21.424999237060547
1666155317.8243392,995328,20.94499969482422
1666155462.5957625,997376,19.864999771118164
1666155609.2252028,999424,17.239999771118164
1666155770.3120716,1001472,20.719999313354492
